"Date_l" "Time_l" "snr_l"
7.0556712962963 34.7861 3.24253365483667
7.0556712962963 34.61445 3.04089444838276
7.0556712962963 34.8539 3.05017158983617
7.0556712962963 34.8526 3.16788429959492
7.0556712962963 34.70085 3.97026062670422
7.0556712962963 34.6031 3.23305491608643
7.0556712962963 34.77965 3.28308226059715
7.0556712962963 34.63055 3.74698675771564
7.0556712962963 34.63775 3.29348351927735
7.0556712962963 34.63865 3.95512295366141
7.0556712962963 34.6894 3.29917356427889
7.0556712962963 34.68685 3.83016181181158
7.0556712962963 34.71635 3.27156312784361
7.0556712962963 34.61765 4.03659179782327
7.0556712962963 34.70775 3.3705195050678
7.0556712962963 34.6965 3.68965728684349
7.0556712962963 34.82285 3.28742562406805
